통화(하다), Telephone call
가볍다, light
녹화하다, record
자막, subtitle
화질, Picture quality
편리하다, convenient
가격, price
품질, quality
정보, information
채팅, Internet chatting
사이트, Web site
글자, letter
크기, size
종이컵, Paper cup
환경, environment
기름, gasoline
찬성(하다), Agreement
반대(하다), Disagreement
소식, news
인터넷 카페, cybercafe
씻다, wash
비교하다, compare
절약하다, Save on
확인하다, Check / certify
(전화를) 걸다/하다, Make a call
직접, Directly / in person
세기, century
최고, Best
발명품, invention
생활, life
시간을 보내다, To spend time
가져가다, To take
(하루) 종일, All day
불안하다, anxious
종류[종뉴], Kind /sort
기능, function
(진공) 청소기, Vacuum cleaner
